Name;State;Population;Latitude;Longitude
Sydney;New South Wales;4,627,345;-33.868;151.207
Melbourne;Victoria;4,246,375;-37.814;144.963
Brisbane;Queensland;2,189,878;-27.468;153.028
Perth;Western Australia;1,896,548;-31.952;115.861
Adelaide;South Australia;1,225,235;-34.929;138.599
Gold Coast;Queensland;591,473;-28;153.431
Canberra;ACT;367,752;-35.283;149.128
Newcastle;New South Wales;308,308;-32.927;151.776
Wollongong;New South Wales;292,190;-34.424;150.893
Logan City;Queensland;282,673;-27.639;153.109
